context,trigger,positive,p_plus_trig,p_minus_trig,neutral,n_plus_trig,n_minus_trig
negation,question,Someone stole some cookies that John just baked.,He doesn't concern himself wondering who did it.,He doesn't concern himself wondering if they were caught.,John is thinking about some cookies he just baked.,He doesn't concern himself wondering who stole them.,He doesn't concern himself wondering if someone stole them.
negation,question,Someone copied Gabby's homework.,"She doesn't concern herself wondering who it is, though.","She doesn't concern herself wondering if they got caught, though.",Gabby is thinking about the people in her class.,She doesn't concern herself wondering who copied her homework.,She doesn't concern herself wondering if someone has copied her homework.
negation,question,Someone stole a package from George's porch.,He doesn't both himself wondering who did it.,He doesn't bother himself wondering if they were caught.,George is thinking about his deliveries.,He doesn't bother himself wondering who stole it from his porch.,He doesn't both himself wondering if someone stole it from his porch.
negation,question,Someone copied the answers on Frank's test.,"He doesn't care who did it, though.","He doesn't care if they were caught, though.",Frank is thinking about his recent math test.,He doesn't care about who copied his answers.,He doesn't care if someone copied his answers.
negation,question,Somone is interested in buying Harry's house.,"He doesn't concern himself wondering who it is, though.",He doesn't concern himself wondering if they can pay for it.,Harry is thinking about his house.,He doesn't concern himself wondering who is interested in buying it.,He doesn't concern himself wondering if someone is interested in buying it.
negation,question,Somone stole Cara's laptop charger.,"She doesn't bother wondering who it was, though.","She doesn't bother wondering if they were caught, though.","Cara is thinking about her laptop charger, which she left at a cafe.","She doesn't wonder who stole it, though.","She doesn't wonder if it was stolen, though."
,,,,,,,
negation,back,Harold was in Chicago last weekend. But missed his flight.,So he he didn't make it back there this weekend.,So he isn't spending time there this weekend.,Harold missed his flight.,So he didn't make it back to Chicago this weekend.,So he didn't make it to Chicago this weekend.
negation,back,"Jean went to the art museum last weekend, but she's busy on Saturday.",So she isn't going back there to see an exhibit this weekend.,But she isn't going there to see an exhibit this weekend.,Jean is busy on Saturday.,So she isn't going back to the art museum this weekend.,So she isn't going to the art museum this weekend.
negation,back,Lola went to Florida last summer. But now she has to teach.,So she didn't make it back there this summer.,So she isn't spending time there this summer.,Lola has to teach during June.,So she didn't make it back to Florida this summer.,So she didn't make ti to Florida this summer.
negation,back,Valerie went to the movies last Saturday. But she has to babysit this weekend.,So she isn't going back to the movies this weekend.,So she isn't going to the movies this weekend.,Valerie has to babysit this weekend.,So she didn't go back to the movies on Saturday.,So she didn't go to the movies on Saturday.
negation,back,Claire visited family in California last Christmas. But flights are expensive now.,So she isn't going back there this Christmas.,So she isn't going there this Christmas.,Claire saw that flights are expensive.,So she isn't going back to California for Christmas.,So she isn't going to California for Christmas.
negation,back,Charles was in New York for work last week. But he got put on a new assignment.,So he isn't going back there this week.,So he won't be spending any time there this week.,Charles got put on a new assignment for work.,So he isn't going back to New York this week.,So he won't be going to New York this week.
,,,,,,,
negation,stange_change,Gale was swimming at the beach.,"Even though a storm was on this horizon, she didn't stop swimming.","Even though a storm was on this horizon, she wasn't worried about it.","At the beach, Gale saw that a storm was on the horizon.","Even so, she didn't stop swimming.","Even so, she wasn't nervous about it."
negation,stange_change,Adrienne was building a treehouse outside.,"Even though it started to rain, she didn't stop building the treehouse.","Even though it started to rain, she didn't get to wet.",Adrienne noticed that it was starting to rain.,"Even so, she didn't stop building a treehouse outside.","Even so, she didn't get too wet."
negation,stange_change,Holly was climbing a mountain.,"Even though it started to snow, she didn't stop climbing.","Even though it started to snow, she didn't get too cold.",Holly noticed that it was starting to snow.,"Even so, she didn't stop playing outside.","Even so, she didn't get too cold."
negation,stange_change,Jackson was cleaning out the garage.,"Even though he saw that a game was on TV, he didn't stop cleaning.","Even though he saw a game was on TV, he didn't watch it.",Jackson noticed that a basketball game was on TV.,"Even so, he didn't stop cleaning the garage.","Even so, he didn't watch it."
negation,stange_change,Paul was mowing the lawn.,"Even though his favorite show was on, he didn't stop mowing.","Even though he saw his favorite show was on, he didn't watch it.",Paul saw that his favorite show was on TV.,"Even so, he didn't stop mowing the lawn.","Even so, he didn't watch it."
negation,stange_change,Pammy was shoveling her driveway.,"Even though it got dark, she didn't stop shoveling.","Even though it got dark, she could still see allright.",Pammy noticed that it was getting dark.,"Even so, she didn't stop shoveling her driveway.","Even so, she could still see allright."
,,,,,,,
negation,still,Mira was reading a book at lunchtime.,"But at three, she wasn't still reading it.",But at three he wasn't reading it.,Why did the teacher get upset with Harold?,He wasn't still reading his book.,He wasn't reading his book.
negation,still,Tim was working on his report at 3:00.,But at 4:00 he wasn't still working on it.,But at 4:00 he wasn't working on it.,Why did the manager get upset with Tim just now?,He wasn't still working on his report.,He wasn't working on his report.
negation,still,Erin was doing sprints when soccer practice started.,"But at 4:00, she wasn't still doing them.","But at 4:00, she wasn't doing them.",Why was the coach upset with Erin?,She wasn't still doing sprints.,She wasn't doing sprints.
negation,still,Joel was practicing the piano at lunchtime.,"But at three, he wasn't still practicing.","But at three, he wasn't practicing.",Why did the piano teacher get mad at Joel?,He wasn't still practicing the piano.,He wasn't practicing the piano.
negation,still,Julia was helping her grandparents after dinner.,"But at nine, she wasn't still helping them out.","But at nine, she wasn't helping them out.",Why did Julia's mom get mad at her?,She wasn't still helping her grandparents.,She wasn't helping her grandparents.
negation,still,Sammy was writing her report after dinner.,"But at ten, she wasn't still working on it.","But at ten, she wasn't working on it.",Why did Sammy's dad get mad at her?,She wasn't still working on her report.,She wasn't working on her report.
,,,,,,,
negation,again,Kyla went to the beach last summer.,"This summer, she didn't go there again.","This summer, she didn't spend any time there.",Why did Kyla not get sunburned?,She didn't go to the beach again this summer.,She didn't go to the beach this summer.
negation,again,Lane vacationed in the mountains last summer.,"This summer, he didn't go to there again.","This summer, he didn't spend any time there.",Why was Lane sad about the summer?,He didn't go hiking in the mountains again.,He didn't go hiking in the mountains.
negation,again,Roger went skiing last winter.,"But this winter, he didn't go to the ski resort again.","But this winter, he didn't spend any time at the ski resort.",Why was Roger disappointed?,He didn't go skiing again this winter.,He didn't go skiing this winter.
negation,again,"Last fall, Cleo signed up to be a tutor.","But this winter, she didn't sign up to be a tutor again.","But this winter, she didn't spend any time tutoring.",Why did Cleo have more free time this winter?,She didn't sign up to be a tutor again.,She didn't sign up to be a tutor.
negation,again,Tina went to church with her Grandmother last weekend.,"But this week, she didn't go to church again.","But this week, she didn't spend any time at church.",Why is Tina's grandmother disappointed?,She didn't go to church again this weekend.,She didn't go to church this weekend.
negation,again,Rachel went to the movies with her friends last weekend.,"But this weekend, she didn't go to the movies again.","But this week, she didn't spend any time with her friends.",Why are Rachel's friends annoyed?,She didn't go to the movies with them again this weekend.,She didn't go to the movies with them this weekend.
