context,trigger,positive,p_plus_trig,p_minus_trig,neutral,n_plus_trig,n_minus_trig
question,state_change,Seth was weeding the garden when he felt a raindrop.,Did he finish weeding the garden?,Did he go inside?,Seth was outside when he felt a raindrop.,Did he finish weeding the garden?,Did he go inside?
question,state_change,Travis was fixing the fence when it started to rain.,Did he finish fixing the fence?,Did he put on a rain jacket?,Travis was outside when it started to rain.,Did he finish fixing the fence?,Did he put on a rain jacket?
question,state_change,Nolan was on a hike when he heard thunder.,Did he stop hiking?,Did he look for lightning?,Nolan was outside when he heard thunder.,Did he stop hiking?,Did he look for lightning?
,,,,,,,
question,still,"At noon, James was reading a book.",Was he still reading it at 3:00pm?,Was he writing his report on it at 3:00pm?,James was relaxing at home.,Was he still reading a book at 3:00pm?,Was he reading a book at 3:00pm?
question,still,"After lunch, Pierre was washing his car.","An hour later, was he still washing it?","An hour later, was he vacuuming it?",Pierre was doing chores after lunch.,At 3:00 was he still washing his car?,At 3:00 was he washing his car?
question,still,Tristan was playing basketball after breakfast.,"At 10am, was he still playing basketball?","At 10am, was he doing his stretches?",Tristan got up early.,"At 10am, was he still playing basketball?","At 10am, was he playing basketball?"
question,still,Olivia went running after dinner.,"At 8pm, was she still running?","At 8pm, was she doing her stretches?",Olivia decided to go on a run after dinner.,"At 8pm, was she still running?","At 8pm, was she doing her stretches?"
question,still,Natasha was writing a report after lunch.,"At 2:00, was she still writing the report?",At 2:00 was she editing it?,Natasha had lots of work today.,"At 2:00, was she still writing her report?","At 2:00, was she writing her report?"
question,still,Sierra was working on homework after dinner.,"At 10, was she still working on her homework?","At 10, was she reading in bed?",Sierra ate dinner and went to her room.,"At 10, was she still working on her homework?","At 10, was she working on her homework?"
,,,,,,,
question,again,Avi went to the beach last summer.,Did he go again this summer?,Did he spend time there this summer?,Avi had a great summer.,Did he go to the beach again?,Did he go to the beach?
question,again,Riley went to Disney Land last summer..,Did she go again this summer?,Did she go to a resort this summer?,Riley had an awesome summer.,Did she visit Disney Land again?,Did she visit Disney Land?
question,again,Sage went skiing last winter.,Did she go again this winter?,Did she have a good time?,Sage had a great winter.,Did she go skiing again?,Did she go skiing?
question,again,Noah went to Maine for vacation last year.,Did he go there again this year?,Did he spend time there this year?,Noah had a great vacation up north.,Did he visit Maine again?,Did he visit Maine?
question,again,"Last semester, Irina signed up to be a tutor.",Did she do it again this year?,Did she sign up this year?,Irina is very busy this semester.,Did she sign up to be a tutor again?,Did she sign up to be a tutor?
question,again,"Last December, Remy went to the craft fair.",Did he go again this year?,Did he visit it this year?,Remy is doing lots of holiday shopping.,Did he go to the craft fair again?,Did he go to the craft fair?
