projection,trigger,positive,p_plus_trig,p_minus_trig,neutral,n_plus_trig,n_minus_trig
possibility,too,Lauren went to class.,"Then she might have gone to the library, too.",Then she might have gone to the library.,What did Lauren do yesterday?,"She might have gone to the library, too.",She might have gone to the library.
,,,,,,,
possibility,cleft,Hannah baked something last weekend.,It might have been muffins that she made.,She might have made muffins.,What did Hannah do last weekend?,It might have been muffins that she made.,She might have made muffins.
possibility,cleft,Dale fixed something yesterday.,Maybe it was the TV remote that he fixed.,Maybe he fixed the TV remote.,What did Dale do yesterday?,Maybe it was the TV remote that he fixed.,Maybe he fixed the TV remote.
possibility,cleft,Hyla tasted some Thai food.,Maybe it was pad thai that she tried.,Maybe she tried pad thai.,What did Hyla do tonight?,Maybe it was pad thai that she tried.,Maybe she tried pad thai.
possibility,cleft,Ryan read something yesterday.,It's possible it was a comic book that he read.,It's possible he read a comic book.,What did Ryan do yesterday?,It's possible it was a comic book that he read.,It's possible he read a comic book.
possibility,cleft,Sylvia watched a game this morning.,Maybe it was a hockey game that she watched.,Maybe she watched a hockey game.,What did Sylvia do this morning?,Maybe it was a hockey game that she watched.,Maybe she watched a hockey game.
possibility,cleft,Marina built something last night.,It might have been a box that she built.,She might have built a box.,What did Marina do last night?,It might have been a box that she built.,She might have built a box.
,,,,,,,
possibility,cognitive,Desmond stole Jill's guitar.,It's possible she knows he stole it.,It's possible she suspects that he stole it.,Why is Jill upset?,It's possible she knows that Desmond stole her guitar.,It's possible she suspects that Desmond stole her guitar.
possibility,cognitive,Zach stole Wanda's computer.,It's possible she knows he stole it.,It's possible she suspects that he stole it.,Why is Wanda mad?,It's possible she knows that Zach stole her computer.,It's possible she suspects that Zach stole her computer.
possibility,cognitive,Jerry took Beatrice's book.,Maybe he knows she took it.,Maybe he suspects that she took it.,Why is Beatrice mad at Jerry?,Maybe she knows he took her book.,Maybe she suspects that he took her book.
possibility,cognitive,Leonard copied Susana's test answers.,It's possible she knows he copied her answers.,It's possible she suspects that he copied her answers.,What's up with Susana and Leonard?,It's possible she knows that he copied her test answers.,It's possible she suspects that he copied her test answers.
possibility,cognitive,Dimitri accidentally broke Shivani's microwave.,Maybe she knows he broke it.,Maybe she suspects that he broke it.,Why is Shivani mad at Dimitri?,Maybe she knows that he broke her microwave.,Maybe she suspects that he broke her microwave.
possibility,cognitive,Lauren took Ned's favorite mug.,He might know that she took it.,He might suspect that she took it.,Why is Ned upset?,He might know that Lauren took his favorite mug.,He might suspect that Lauren took his favorite mug.
,,,,,,,
possibility,emotive,Raj stole Adiyah's sneakers.,It's possible she's mad that he stole it.,It's possible she suspects that he stole it.,What's up with Adiyah?,It's possible she's mad that Raj stole her sneakers.,It's possible she suspects that Raj stole her sneakers.
possibility,emotive,Isabella took Zayn's favorite toy car.,Maybe he's upset that she took it.,Maybe he suspects that she took it.,What's up with Zayn?,Maybe he's mad that Isabella took his favorite toy car.,Maybe he suspects that Isabella took his favorite toy car.
possibility,emotive,Roberta copied Alan's homework.,It's possible he's mad that she copied it.,It's possible he suspects that she copied it.,What's up with Alan and Roberta?,It's possible he's mad that she copied his homework.,It's possible he suspects that she copied his homework.
possibility,emotive,Dylan copied Jane's dance move.,Maybe she's flattered that he copied it.,Maybe she suspects that he copied it.,What's up with Jane?,Maybe she's flattered that Dylan copied her dance move.,Maybe she suspects that Dylan copied her dance move.
possibility,emotive,Kevin accidentally broke Busola's phone charger.,It's possible she's mad that he broke it.,It's possible she suspects that he broke it.,What's up with Busola?,It's possible she's mad that Kevin broke her phone charger.,It's possible she suspects that Kevin broke her phone charger.
possibility,emotive,Rita stole Charlie's new sweater.,Maybe he's frustrated that she stole it.,Maybe he suspects that she stole it.,What's up with Rita and Charlie?,Maybe he's frustrated that Rita stole his new sweater.,Maybe he suspects that Rita stole his new sweater.
,,,,,,,
possibility,accomplishment,Seth participated in a tennis tournament.,Maybe he won the tournament.,Maybe he enjoyed participating in it.,What did Seth do this weekend?,Maybe he won a tennis tournament.,Maybe he participated in a tennis tournament.
possibility,accomplishment,Rashida is looking for her favorite mug.,Maybe she found it under the sofa.,Maybe she's getting frustrated looking for it.,What's new with Rashida?,Maybe she found her favorite mug.,Maybe she broke her favorite mug.
possibility,accomplishment,Rue took a final exam on Monday.,Maybe she passed it.,Maybe she studied hard for it.,What did Rue do on Monday?,Maybe she passed a final exam.,Maybe she studied for a final exam.
possibility,accomplishment,Zoe participated in a game of poker last night.,She might have won the game.,She might have had a good time playing.,What did Zoe do last night?,She might have won a game of poker.,She might have been playing poker.
possibility,accomplishment,Jake is looking for his car keys.,Maybe he found them in his jacket.,Maybe he is getting annoyed as he looks.,What's new with Jake?,Maybe he found his car keys.,Maybe he misplaced his car keys.
possibility,accomplishment,Paul took a physics test last week.,It's possible he passed it.,It's possible he studied hard for it.,What was up with Paul yesterday?,It's possible he passed an exam.,It's possible he studied for an exam.
,,,,,,,
possibility,possessive,Raj got a new printer recently.,It's possible he asked a friend about how to set up his printer at work.,It's possible he asked a friend about how to set up a printer at work.,What did Raj do yesterday?,It's possible he asked a friend about how to set up his printer.,It's possible he asked a friend about how to set up a printer.
possibility,possessive,Rachel got a new guitar last week.,Maybe she asked a friend about how to tune her guitar.,Maybe she asked a friend about how to tune a guitar.,What did Rachel do yesterday?,Maybe she asked a friend about how to tune her guitar.,Maybe she asked a friend about how to tune a guitar.
possibility,possessive,Ryan got a new rug.,Maybe he asked his mom about how to properly vacuum his rug.,Maybe he asked his mom about how to properly vacuum a rug.,What did Ryan do yesterday?,Maybe he asked his mom about how to properly vacuum his rug.,Maybe he asked his mom about how to properly vacuum a rug.
possibility,possessive,Roderick got a new computer for work.,He might have asked the IT specialist about the best way to set up his new computer.,He might have asked the IT specialist about the best way to set up a new computer.,What did Roderick do this morning?,He might have asked the IT specialist about the best way to set up his new computer.,He might have asked the IT specialist about the best way to set up a new computer.
possibility,possessive,Raul got a new car recently.,Maybe he asked his dad about the best way to change tires on his car.,Maybe he asked his dad about the best way to change tires on a car.,What did Raul do yesterday?,Maybe he asked his dad about the best way to change tires on his car.,Maybe he asked his dad about the best way to change tires on a car.
possibility,possessive,Riley got a new fax machine for work.,She might have asked a friend about how to set up her fax machine.,She might have asked a friend about how to set up a fax machine.,What did Riley do this morning?,She might have asked a friend about how to set up her fax machine.,She might have asked a friend about how to set up a fax machine.
,,,,,,,
possibility,definite_det,There are some students and an auditor in Brock's class.,It's possible the auditor really likes the course.,It's possible students tend to really like the course.,Brock signed up for a Philosophy class.,It's possible the auditor really likes the course.,It's possible students tend to really like the course.
possibility,definite_det,There are three cooks and a dishwasher on Susie's shift.,It's possible the dishwasher doesn't like this shift.,It's possible cooks tend not to like this shift.,Susie got assigned to a new shift.,It's possible the dishwasher doesn't like this shift.,It's possible cooks tend not to like this shift.
possibility,definite_det,There are four actors and a dancer at Jill's rehearsal.,It's possible the dancer thinks a lot needs to change.,It's possible actors are happy with how the show is going.,Jill came to rehearsal early.,It's possible the dancer is happy with how the show is going.,It's possible actors are happy with how the show is going.
possibility,definite_det,There are four families and a couple in Tomer's apartment building.,It's possible the couple will stay for a long time.,It's possible families stay in the building for a long time.,Tomer moved to a new apartment building last year.,It's possible the couple will stay in the building for a long time.,It's possible families stay in the building for a long time.
possibility,definite_det,There are five mechanics and a forklift operator on George's shift.,It's possible the forklift operator really likes the shift.,It's possible mechanics tend to like this shift.,George just got assigned to a new shift at work.,It's possible the forklift operator likes the shift.,It's possible mechanics tend to like this shift.
possibility,definite_det,There are seven students and a visitor in Tracy's class.,Maybe the visitor is struggling in the course.,Maybe students tend to struggle in the course.,Tracy signed up for a Physics class.,Maybe the visitor is struggling in the course.,Maybe students tend to struggle in the course.
,,,,,,,
possibility,question,Someone stole Jack's computer.,It's possible he wonders who stole it.,It's possible he wonders whether someone stole it.,Jack is thinking about his computer.,It's possible he wonders who stole it.,It's possible he wonders whether someone stole it.
possibility,question,Someone stole Harrison's gym bag.,He might wonder who did it.,He might wonder if they were caught.,Harrison can't find his gym bag.,He might wonder who stole it.,He might wonder if someone stole it.
possibility,question,Someone stole Allison's phone.,It's possible she wonders who did it.,It's possible she wonders whether they have been caught.,Allison can't find her phone.,It's possible she wonders who stole it.,It's possible she wonders if someone stole it.
possibility,question,Someone dented the fender on Javier's car.,He might wonder who did it.,He might wonder if they were caught on camera.,Javier recently got a car.,He might wonder who dented its fender.,He might wonder if someone has dented its fender.
possibility,question,Someone copied Max's homework.,He might wonder who did it.,He might wonder if they were caught.,Max got a good grade on his homework.,He might wonder who copied it.,He might wonder if anyone copied it.
possibility,question,Someone stole Scott's phone charger.,Maybe he wonders who did it.,Maybe he wonders if they were caught on camera.,Scott can't find his phone charger.,Maybe he wonders who stole it.,Maybe he wonders if someone stole it.
,,,,,,,
possibility,back,Georgia was at her parents house last month. What did she do last week?,It's possible she drove back to her parent's house.,It's possible she drove to her parent's house.,What did Georgia do last month?,It's possible she drove back to her parent's house.,It's possible she drove to her parent's house.
possibility,back,Christian was at the town hall last week. What did he do yesterday afternoon?,Maybe he went back to the Town Hall to file a petition.,Maybe he went to the Town Hall to file a petition.,What did Christian do yesterday afternoon?,Maybe he went back to the Town Hall to file a petition.,Maybe he went to the Town Hall to file a petition.
possibility,back,Mariam went to Florida last summer. What about this summer?,Maybe she went back to Florida.,Maybe she went to Florida.,What did Mariam do last summer?,Maybe she went back to Florida.,Maybe she went to Florida.
possibility,back,Yuri went to Disneyland last year. Where did he go on vacation this year?,It's possible he went back to Disneyland.,It's possible he went to Disneyland.,Where did Yuri go on vacation?,It's possible he went back to Disneyland.,It's possible he went to Disneyland.
possibility,back,Yvette was in Houston last week. What about this week?,Maybe flew back to Houston for a conference.,Maybe she flew to Houston for a conference.,What did Yvette do this week?,She flew back to Houston for a conference.,She flew to Houston for a conference.
possibility,back,Yvonne was in Mexico for spring break last year. What about this spring break?,Maybe she went back to Mexico.,Maybe she went to Mexico.,What did Yvonne do for spring break?,Maybe she went back to Mexico.,Maybe she went to Mexico.
,,,,,,,
possibility,state_change,"Yesterday, Noel was playing on her computer.","Today, she might have stopped playing on it.","Today, she might be working on her homework.",What's up with Noel?,She might have stopped playing on her computer.,She might be playing on her computer.
possibility,state_change,"Yesterday, Janet was fixing a birdhouse.",Maybe today she stopped fixing it.,Maybe today she is painting the fence.,What's new with Janet?,Maybe she stopped fixing a birdhouse.,Maybe she is fixing a birdhouse.
possibility,state_change,"Yesterday, Kyle was painting his room.","Today, he might have finished painting it.","Today, he might be pulling up the rug.",What's up with Kyle?,He might have stopped painting his room.,He might be painting his room.
possibility,state_change,Ira was chopping wood yesterday.,"Today, it's possible he finished chopping it.","Today, it's possible he is stacking it out back.",What's up with Ira?,It's possible he finished chopping wood out back.,It's possible he is stacking wood out back.
possibility,state_change,Gail was weeding the garden yesterday.,"Today, she might have finished weeding it.","Today, she might be planting flowers.",What's new with Gail?,She might have finished weeding the garden.,She might be weeding the garden.
possibility,state_change,Bella was cleaning the attic yesterday.,Maybe today she finished cleaning it.,Maybe today she is sweeping the garage.,What's up with Bella?,Maybe she finished cleaning the attic.,Maybe she is sweeping the garage.
,,,,,,,
possibility,still,Dan started a new TV show this morning.,"At four, he might have still been watching it.","At four, he might have been reading a book.",What was Dan up to?,He might have still been watching a new TV show.,He might have been watching a TV show.
possibility,still,Norman was reading a book at lunchtime.,"Around three, he might have still been reading it.","Around three, he might have been writing a report on it.",What is Norman up to?,He might still be reading a book.,He might be reading a book.
possibility,still,Dylan was playing basketball with friends.,"Later, it's possible he was still playing basketball.","Later, it's possible he was skateboarding.",What is Dylan up to?,It's possible he is still playing basketball.,It's possible he is playing basketball.
possibility,still,Willie was watching a movie on TV after dinner.,"At 9pm, it's possible he was still watching TV.","At 9pm, it's possible he was doing his homework.",What is Willie up to tonight?,It's possible he is still watching TV.,It's possible he is watching TV.
possibility,still,"In the morning, Martin was painting a birdhouse.",Maybe in the afternoon he was still painting it.,Maybe in the afternoon he was trimming the hedges.,What is Martin up to this afternoon?,Maybe he is still painting a birdhouse.,Maybe he is painting a birdhouse.
possibility,still,Valerie went to the walkathon in the morning.,"In the afternoon, it's possible she was still at the walkathon.","In the afternoon, it's possible she went to work.",What is Valerie up to this afternoon?,It's possible she is still at a walkathon.,It's possible she is at a walkathon.
,,,,,,,
possibility,again,Rex went to the mountains last summer.,"This summer, he might have gone there again.","This summer, he might have gone to the beach.",What did Rex do last summer?,He might have gone to the mountains again.,He might have gone to the mountains.
possibility,again,Jackson went to Disneyworld last spring.,"This spring, it's possible he will go there again.","This spring, it's possible he will go to Universal Studios.",What will Jackson do this spring?,It's possible he will go to Disneyworld again.,It's possible he will go to Disneyworld.
possibility,again,"Last summer, Phil went to the beach.",Maybe he will go there again this summer.,Maybe he will go to the mountians this summer.,What will Phil do this spring?,Maybe he will go to the beach again.,Maybe he will go to the beach.
possibility,again,"Last summer, Gail went to Washington DC.",It's possible she will go there again this summer.,It's possible this summer she will go to New York.,What will Gail do this summer?,It's possible she will visit Washington DC agian.,It's possible she will visit Washington DC.
possibility,again,"Last fall, Paulina visited California.",Maybe she will visit it again this fall.,Maybe she will visit Oregon this fall.,What will Paulina do this fall?,Maybe she will visit California again.,Maybe she will visit California.
possibility,again,"Last winter, Nora went to Canada.",Maybe she will go again this winter.,Maybe she will go to Mexico this winter.,What will Nora do this winter?,Maybe she will visit Canada again.,Maybe she will visit Canada.
